,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.0495,8/1/2017,,0.0495,MUI
1,,,6/1/2017,6/13/2017,0.0555,7/3/2017,,0.0555,MUI
2,,,5/1/2017,5/11/2017,0.0555,6/1/2017,,0.0555,MUI
3,,,4/3/2017,4/11/2017,0.0555,5/1/2017,,0.0555,MUI
4,,,3/1/2017,3/13/2017,0.0555,4/3/2017,,0.0555,MUI
5,,,2/1/2017,2/13/2017,0.0555,3/1/2017,,0.0555,MUI
6,,,1/3/2017,1/11/2017,0.0555,2/1/2017,,0.0555,MUI
7,,,12/1/2016,12/8/2016,0.0555,12/30/2016,,0.0555,MUI
8,0.10267,,12/1/2016,12/8/2016,0.00159,12/30/2016,S,0.14474,MUI
9,,,11/1/2016,11/10/2016,0.0555,12/1/2016,,0.0555,MUI
10,,,10/3/2016,10/12/2016,0.0555,11/1/2016,,0.0555,MUI
11,,,9/1/2016,9/13/2016,0.0555,10/3/2016,,0.0555,MUI
12,,,8/1/2016,8/11/2016,0.0555,9/1/2016,,0.0555,MUI
