date,symbol,date,open,high,low,close,volume,Returns,Log Returns,Standard Deviation (60d),Standard Deviation (200d)
2004-10-08,FXI,2004-10-08,13.86157,13.95191,13.83576,13.85124,2238796.0,,,,
2004-10-11,FXI,2004-10-11,14.01645,14.04226,13.95966,14.02419,1336149.0,0.0124862467187,0.0124089364186,,
2004-10-12,FXI,2004-10-12,13.83576,13.90029,13.77897,13.86157,961531.0,-0.0115956786096,-0.0116634327704,,
2004-10-13,FXI,2004-10-13,13.7609,13.7609,13.47437,13.50535,1429900.0,-0.0256983877007,-0.0260343597238,,
2004-10-14,FXI,2004-10-14,13.41242,13.44856,13.28078,13.32466,464107.0,-0.0133791423399,-0.0134694494571,,
2004-10-15,FXI,2004-10-15,13.43565,13.58795,13.43049,13.526,908457.0,0.0151103292692,0.0149973053738,,
2004-10-18,FXI,2004-10-18,13.39435,13.40984,13.32466,13.35822,723667.0,-0.0124042584652,-0.0124818334536,,
2004-10-19,FXI,2004-10-19,13.52342,13.54149,13.42533,13.43824,613644.0,0.00599031906946,0.00597244843985,,
2004-10-20,FXI,2004-10-20,13.25496,13.28594,13.13364,13.26787,887150.0,-0.0126779994999,-0.0127590511125,,
2004-10-21,FXI,2004-10-21,13.21366,13.37112,13.18011,13.34273,718243.0,0.00564220180029,0.00562634419961,,
2004-10-22,FXI,2004-10-22,13.35822,13.36596,13.17752,13.19043,469143.0,-0.0114144556624,-0.0114801005734,,
2004-10-25,FXI,2004-10-25,13.11299,13.12848,13.04072,13.10009,539651.0,-0.00684890484996,-0.00687246624022,,
2004-10-26,FXI,2004-10-26,13.11299,13.29368,13.10009,13.26787,899547.0,0.012807545597,0.012726222614,,
2004-10-27,FXI,2004-10-27,13.24206,13.2782,13.13881,13.25496,1366754.0,-0.000973027320889,-0.000973501019278,,
2004-10-28,FXI,2004-10-28,13.37112,13.37112,12.95811,13.06137,2215164.0,-0.0146050987706,-0.0147128032012,,
2004-10-29,FXI,2004-10-29,13.22915,13.29368,13.22657,13.2911,562895.0,0.017588507178,0.0174356194932,,
2004-11-01,FXI,2004-11-01,13.30401,13.30659,13.24206,13.26787,469531.0,-0.00174778611251,-0.00174931527268,,
2004-11-02,FXI,2004-11-02,13.50019,13.61376,13.44598,13.4847,599310.0,0.0163424875281,0.0162103863766,,
2004-11-03,FXI,2004-11-03,13.61893,13.71185,13.60344,13.69895,908070.0,0.0158883771979,0.015763478158,,
2004-11-04,FXI,2004-11-04,13.60344,13.74541,13.54665,13.71444,725991.0,0.00113074359714,0.0011301047881,,
2004-11-05,FXI,2004-11-05,13.72734,13.78413,13.69637,13.7609,928602.0,0.00338767022204,0.00338194499376,,
2004-11-08,FXI,2004-11-08,13.7609,13.78155,13.64216,13.68088,975865.0,-0.00581502663343,-0.00583199973214,,
2004-11-09,FXI,2004-11-09,13.78671,13.79704,13.74799,13.7738,846086.0,0.00679196075106,0.00676899929588,,
2004-11-10,FXI,2004-11-10,14.00354,14.11454,13.94675,14.05517,2023013.0,0.0204279138655,0.0202220627183,,
2004-11-11,FXI,2004-11-11,14.00354,14.08614,13.9674,14.06291,1513579.0,0.000550687042562,0.000550535470095,,
2004-11-12,FXI,2004-11-12,14.06291,14.23328,14.06291,14.21779,2079186.0,0.011013367788,0.0109531622932,,
2004-11-15,FXI,2004-11-15,14.32362,14.40364,14.30039,14.37008,2848954.0,0.010711228679,0.0106542698409,,
2004-11-16,FXI,2004-11-16,14.14293,14.14551,14.05,14.08098,1644134.0,-0.020118190017,-0.0203233166487,,
2004-11-17,FXI,2004-11-17,14.21004,14.34943,14.19456,14.27974,1443847.0,0.0141154948022,0.0140167988823,,
2004-11-18,FXI,2004-11-18,14.23586,14.25134,14.19197,14.23069,838725.0,-0.00343493649044,-0.00344084942905,,
2004-11-19,FXI,2004-11-19,14.17391,14.18423,14.02161,14.04484,1770039.0,-0.0130598024411,-0.0131458314968,,
2004-11-22,FXI,2004-11-22,14.07582,14.16616,14.06807,14.16358,888312.0,0.00845435049456,0.00841881263263,,
2004-11-23,FXI,2004-11-23,14.30039,14.3675,14.28232,14.33911,1650332.0,0.0123930531688,0.0123168879197,,
2004-11-24,FXI,2004-11-24,14.38299,14.50689,14.37267,14.49657,1948244.0,0.0109811557342,0.0109213006304,,
2004-11-26,FXI,2004-11-26,14.48108,14.48108,14.39073,14.42429,1075040.0,-0.00498600703477,-0.00499847864079,,
2004-11-29,FXI,2004-11-29,14.51464,14.51464,14.3959,14.41655,1933911.0,-0.000536594868794,-0.000536738887343,,
2004-11-30,FXI,2004-11-30,14.46817,14.46817,14.39073,14.40364,1346996.0,-0.000895498576289,-0.000895899774672,,
2004-12-01,FXI,2004-12-01,14.4501,14.58949,14.4501,14.57401,1629413.0,0.0118282600787,0.0117588529845,,
2004-12-02,FXI,2004-12-02,14.67726,14.67726,14.58433,14.58433,1846358.0,0.000708109847599,0.000707859256111,,
2004-12-03,FXI,2004-12-03,14.57143,14.57143,14.49399,14.55852,2012941.0,-0.00176970762455,-0.00177127540704,,
2004-12-06,FXI,2004-12-06,14.57917,14.58433,14.53271,14.55594,1405107.0,-0.000177215815893,-0.000177231520472,,
2004-12-07,FXI,2004-12-07,14.47592,14.51464,14.29265,14.36234,1435324.0,-0.0133004120655,-0.0133896547389,,
2004-12-08,FXI,2004-12-08,14.19714,14.19714,14.07582,14.19456,863519.0,-0.011681940408,-0.0117507103763,,
2004-12-09,FXI,2004-12-09,14.18423,14.19714,13.96482,14.17907,1398134.0,-0.00109126313179,-0.00109185899294,,
2004-12-10,FXI,2004-12-10,13.99063,13.99063,13.88738,13.94675,826715.0,-0.0163847135249,-0.0165204274076,,
2004-12-13,FXI,2004-12-13,13.93901,13.96998,13.87448,13.94933,771317.0,0.000184989334433,0.000184972226016,,
2004-12-14,FXI,2004-12-14,14.08872,14.08872,13.95966,14.0371,901097.0,0.00629205847163,0.00627234611604,,
2004-12-15,FXI,2004-12-15,14.27716,14.28232,14.16874,14.28232,1223415.0,0.0174694203219,0.0173185841453,,
2004-12-16,FXI,2004-12-16,14.22295,14.22553,14.13261,14.18165,899934.0,-0.00704857474136,-0.00707353329494,,
2004-12-17,FXI,2004-12-17,14.19714,14.2023,14.10937,14.14809,649285.0,-0.00236643831994,-0.00236924276033,,
2004-12-20,FXI,2004-12-20,14.42945,14.43462,14.36492,14.3959,4854147.0,0.0175154384797,0.0173638111725,,
2004-12-21,FXI,2004-12-21,14.39848,14.40364,14.34427,14.40364,1088599.0,0.00053765308178,0.000537508598148,,
2004-12-22,FXI,2004-12-22,14.39073,14.39073,14.30039,14.3133,919692.0,-0.0062720256824,-0.00629177746793,,
2004-12-23,FXI,2004-12-23,14.36492,14.39848,14.35202,14.39332,1485299.0,0.00559060454263,0.00557503511444,,
2004-12-27,FXI,2004-12-27,14.39073,14.40364,14.3133,14.31846,836013.0,-0.00520102380827,-0.00521459621332,,
2004-12-28,FXI,2004-12-28,14.3262,14.37783,14.28748,14.3675,710495.0,0.00342494933114,0.00341909754975,,
2004-12-29,FXI,2004-12-29,14.36234,14.37008,14.3262,14.33911,567931.0,-0.00197598747172,-0.00197794231055,,
2004-12-30,FXI,2004-12-30,14.22295,14.22811,14.17132,14.19197,909620.0,-0.0102614457941,-0.0103144573912,,
2004-12-31,FXI,2004-12-31,14.30039,14.32104,14.26167,14.31846,687638.0,0.00891278659693,0.00887330215199,,
2005-01-03,FXI,2005-01-03,14.31846,14.33911,14.22811,14.23586,1288111.0,-0.0057687768098,-0.00578548047352,,
2005-01-04,FXI,2005-01-04,14.14551,14.15584,13.83059,13.8435,2184560.0,-0.0275613837169,-0.0279483249849,0.0113171584679,
2005-01-05,FXI,2005-01-05,13.68088,13.68088,13.50793,13.52858,1335762.0,-0.0227485823672,-0.0230113236754,0.0115723924266,
2005-01-06,FXI,2005-01-06,13.53633,13.55181,13.44856,13.54407,920467.0,0.00114498343507,0.00114432844146,0.0114825108283,
2005-01-07,FXI,2005-01-07,13.53374,13.53374,13.37112,13.42275,875528.0,-0.00895742564827,-0.00899778457421,0.0110506880891,
2005-01-10,FXI,2005-01-10,13.526,13.56988,13.47179,13.53116,1567041.0,0.00807658639251,0.00804414532695,0.0109585577892,
2005-01-11,FXI,2005-01-11,13.46663,13.47179,13.40984,13.42275,1306319.0,-0.00801187776953,-0.00804414532695,0.0108353282832,
